Link,Tiêu đề,Địa chỉ,Loại hình,Mức giá,Giá/m²,Số phòng ngủ,Quận,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Latitude,Longitude,Tỉnh/Thành
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/ban-2pn-1wc-52m2-gia-2-820-ty-bao-thue-phi-5-so-noi-that-cdt-du-an-gon-pr37279560,"Bán căn Eco Green 1PN-2PN-3PN từ 3,9ỷ, bao thuế phí sổ hồng có sẵn vay lãi suất từ 5% 0706 679 ***","Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",Căn hộ chung cư,"4,2 tỷ","~62,69 triệu/m²",2 phòng,Quận 7,67 m²,,,,,,,,10.7503509521484,106.723175048828,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/chuyen-gia-re-nhat-thi-truong-tro-vay-80-lh-0936-721-723-mr-ai-pr34061984,"Căn hộ Masteri Thảo Điền giá rẻ nhất thị trường, hỗ trợ vay 80%. LH 0936 721 *** Mr. Hoài","Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Căn hộ,"6,75 tỷ","~92,34 triệu/m²",2 phòng,,"73,1 m²",,,,,,,Sổ đỏ/ Sổ hồng,10.8021722579092,106.741949900775
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-the-beverly-solari-vinhomes-grand-park/ban-gap-3pn-vinmes-q9-view-song-tang-mat-gia-2-7-ty-pr42818062,"Bán gấp căn hộ 3PN Vinhomes Grand Park Q9 view sông thoáng mát 2,7 Tý","Dự án The Beverly Solari - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ,Thỏa thuận,,3 phòng,Quận 9,85 m²,,,,,,,,10.8436074170537,106.846231604412,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-long-phuoc-phuong-long-phuoc-2/ban-1000m2-vuon-biet-thu-nhua-6m-thu-duc-gia-chi-18-ty-pr43060717,"Bán 1000m2 đất vườn biệt thự, đường nhựa 6m, Long Phước, Thủ Đức giá chỉ 18 tỷ","Đường Long Phước, Phường Long Phước, Quận 9, Hồ Chí Minh",Biệt thự,18 tỷ,~18 triệu/m²,,Quận 9,1.000 m²,17 m,6 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,10.8073073426314,106.859070744971,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-linh-dong-phuong-linh-dong/ban-nha-mat-tien-kinh-doanh-dang-cho-thue-40-trieu-thang-chieu-ngang-10m-pr42852506,"Bán đất mặt tiền kinh doanh, đường Linh Đông, đang cho thuê 40 triệu/tháng. Chiều ngang 10m","Đường Linh Đông, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",Đất,39 tỷ,"~108,33 triệu/m²",2 phòng,Thủ Đức,360 m²,10 m,15 m,Đông,Đông,1 tầng,,Sổ đỏ/ Sổ hồng.,10.8492306060369,106.746941515842,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-2-phuong-truong-tho-2/ban-tien-kinh-doanh-2-thon-thu-duc-20m-gia-chi-7-5-ty-pr43016678,"Bán nhà mặt tiền kinh doanh đường số 2, Trường Thọ, Thủ Đức, đường 20m, giá chỉ 7,5 tỷ","Đường Số 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",Nhà mặt phố,"7,5 tỷ",~150 triệu/m²,2 phòng,Thủ Đức,50 m²,"4,4 m",20 m,Đông - Bắc,Đông - Bắc,3 tầng,,Sổ đỏ/ Sổ hồng.,10.8351197098053,106.753793046826,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-so-27-phuong-hiep-binh-chanh/ban-biet-thu-200m2-khu-ben-song-thu-duc-gia-re-pr43021501,"Bán đất biệt thự 200m2, khu bên sông, Hiệp Bình Chánh, Thủ Đức giá rẻ","Đường Số 27, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Biệt thự,"16,5 tỷ","~82,5 triệu/m²",,Thủ Đức,200 m²,"9,5 m",15 m,Tây - Nam,,,,Sổ đỏ/ Sổ hồng.,10.8325805093905,106.732289416061,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/ban-nhanh-goc-2pn2wc-64m2-ban-cong-view-quan-1-tai-gia-chi-4-905-ty-pr43104311,"Bán nhanh căn góc 2PN 2WC 64m2 ban công view Quận 1 tại Eco Green Sài Gòn, giá chỉ 4,905 tỷ","Eco Green Sài Gòn, Nguyễn Văn Linh, Tân Thuận Tây, Quận 7, Hồ Chí Minh",Căn hộ chung cư,"4,91 tỷ","~76,28 triệu/m²",2 phòng,Quận 7,"64,3 m²",,,Nam,Bắc,,,HĐMB,10.7507795103531,106.723630502028,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/ban-1pn-2pn-3pn-sai-gon-riverside-pr33886563,"Q7 Riverside mới lắm 2PN 3.05 tỷ giá có thuế phí, nhà rất mới căn này rất mát LH: 0902 651 ***","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Căn hộ chung cư,"3,05 tỷ","~45,76 triệu/m²",2 phòng,Quận 7,"66,66 m²",,,,,,,HĐMB,10.7180337905884,106.742393493652,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tu-xuong-phuong-vo-thi-sau/-tai-quan-3-ho-chi-minh-gia-cuc-chat-92-ty-125-m2-pr43219813,"Nhà riêng tại đường Tú Xương, Quận 3, Hồ Chí Minh, 7mx20m giá cực chất 92 tỷ, 119,3m2","Đường Tú Xương, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Nhà riêng,92 tỷ,"~771,16 triệu/m²",8 phòng,Quận 3,"119,3 m²",,20 m,,,4 tầng,,Sổ đỏ/ Sổ hồng.,10.7804649221356,106.686257124105,Thành phố Hồ Chí Minh
